utility_error,time
0,215.037164
0.000000,238.226333
3.315548,146.040259
4.773303,102.987322
5.671900,67.784500
7.229077,48.035352
8.279593,37.672064
7.668415,41.031704
10.053566,40.428789
11.370032,39.374910
4.877390,116.347910
5.013191,82.913518
5.342056,62.265375
8.898178,61.142526
10.024853,58.853389
10.227618,50.977229
13.130661,59.567903
13.687053,41.250766
13.751855,39.774492
22.673474,165.812508
27.598761,89.619718
29.021271,63.867104
23.167173,38.120982
27.847832,28.680537
29.181786,27.079653
23.624786,27.126565
27.998376,25.649795
29.241813,25.830234
22.698371,50.645075
27.630770,35.778505
29.041446,32.239056
23.188166,31.613113
27.613715,28.138288
28.934696,26.920644
23.995838,27.412008
27.721924,25.839176
29.088646,26.289293
22.809866,90.777357
27.612637,55.081600
29.028561,43.950851
23.326583,34.423029
27.878206,29.522232
29.201716,27.725909
23.904367,27.758054
28.028140,26.541510
29.233060,26.167525
22.837321,50.561796
27.637792,37.087883
29.041408,33.942439
23.402041,32.973610
27.638319,28.861251
29.072512,27.663894
24.075944,28.345736
27.852654,26.823686
28.943902,26.128463
