param,error
1;0;1;1920X1080;1;1,0
3;0;1;1920X1080;1;1,3.315548
5;0;1;1920X1080;1;1,4.773303
1;0;1;640X360;1;1,5.6719
3;0;1;640X360;1;1,7.229077
5;0;1;640X360;1;1,8.279593
1;0;1;384X216;1;1,7.668415
3;0;1;384X216;1;1,10.053566
5;0;1;384X216;1;1,11.370032
1;1;1;1920X1080;1;1,4.87739
3;1;1;1920X1080;1;1,5.013191
5;1;1;1920X1080;1;1,5.342056
1;1;1;640X360;1;1,8.898178
3;1;1;640X360;1;1,10.024853
5;1;1;640X360;1;1,10.227618
1;1;1;384X216;1;1,13.130661
3;1;1;384X216;1;1,13.687053
5;1;1;384X216;1;1,13.751855
1;0;1;1920X1080;1;4,22.673474
3;0;1;1920X1080;1;4,27.598761
5;0;1;1920X1080;1;4,29.021271
1;0;1;640X360;1;4,23.167173
3;0;1;640X360;1;4,27.847832
5;0;1;640X360;1;4,29.181786
1;0;1;384X216;1;4,23.624786
3;0;1;384X216;1;4,27.998376
5;0;1;384X216;1;4,29.241813
1;1;1;1920X1080;1;4,22.698371
3;1;1;1920X1080;1;4,27.63077
5;1;1;1920X1080;1;4,29.041446
1;1;1;640X360;1;4,23.188166
3;1;1;640X360;1;4,27.613715
5;1;1;640X360;1;4,28.934696
1;1;1;384X216;1;4,23.995838
3;1;1;384X216;1;4,27.721924
5;1;1;384X216;1;4,29.088646
1;0;1;1920X1080;1;8,22.809866
3;0;1;1920X1080;1;8,27.612637
5;0;1;1920X1080;1;8,29.028561
1;0;1;640X360;1;8,23.326583
3;0;1;640X360;1;8,27.878206
5;0;1;640X360;1;8,29.201716
1;0;1;384X216;1;8,23.904367
3;0;1;384X216;1;8,28.02814
5;0;1;384X216;1;8,29.23306
1;1;1;1920X1080;1;8,22.837321
3;1;1;1920X1080;1;8,27.637792
5;1;1;1920X1080;1;8,29.041408
1;1;1;640X360;1;8,23.402041
3;1;1;640X360;1;8,27.638319
5;1;1;640X360;1;8,29.072512
1;1;1;384X216;1;8,24.075944
3;1;1;384X216;1;8,27.852654
5;1;1;384X216;1;8,28.943902
