param,time
1;0;1;1920X1080;1;1,238.226333
3;0;1;1920X1080;1;1,146.040259
5;0;1;1920X1080;1;1,102.987322
1;0;1;640X360;1;1,67.7845
3;0;1;640X360;1;1,48.035352
5;0;1;640X360;1;1,37.672064
1;0;1;384X216;1;1,41.031704
3;0;1;384X216;1;1,40.428789
5;0;1;384X216;1;1,39.37491
1;1;1;1920X1080;1;1,116.34791
3;1;1;1920X1080;1;1,82.913518
5;1;1;1920X1080;1;1,62.265375
1;1;1;640X360;1;1,61.142526
3;1;1;640X360;1;1,58.853389
5;1;1;640X360;1;1,50.977229
1;1;1;384X216;1;1,59.567903
3;1;1;384X216;1;1,41.250766
5;1;1;384X216;1;1,39.774492
1;0;1;1920X1080;1;4,165.812508
3;0;1;1920X1080;1;4,89.619718
5;0;1;1920X1080;1;4,63.867104
1;0;1;640X360;1;4,38.120982
3;0;1;640X360;1;4,28.680537
5;0;1;640X360;1;4,27.079653
1;0;1;384X216;1;4,27.126565
3;0;1;384X216;1;4,25.649795
5;0;1;384X216;1;4,25.830234
1;1;1;1920X1080;1;4,50.645075
3;1;1;1920X1080;1;4,35.778505
5;1;1;1920X1080;1;4,32.239056
1;1;1;640X360;1;4,31.613113
3;1;1;640X360;1;4,28.138288
5;1;1;640X360;1;4,26.920644
1;1;1;384X216;1;4,27.412008
3;1;1;384X216;1;4,25.839176
5;1;1;384X216;1;4,26.289293
1;0;1;1920X1080;1;8,90.777357
3;0;1;1920X1080;1;8,55.0816
5;0;1;1920X1080;1;8,43.950851
1;0;1;640X360;1;8,34.423029
3;0;1;640X360;1;8,29.522232
5;0;1;640X360;1;8,27.725909
1;0;1;384X216;1;8,27.758054
3;0;1;384X216;1;8,26.54151
5;0;1;384X216;1;8,26.167525
1;1;1;1920X1080;1;8,50.561796
3;1;1;1920X1080;1;8,37.087883
5;1;1;1920X1080;1;8,33.942439
1;1;1;640X360;1;8,32.97361
3;1;1;640X360;1;8,28.861251
5;1;1;640X360;1;8,27.663894
1;1;1;384X216;1;8,28.345736
3;1;1;384X216;1;8,26.823686
5;1;1;384X216;1;8,26.128463
